lat,lon,start,end,note
-26.466904871021143,-46.528879566009735,2016-03-08,2016-04-06,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2016-07-26,2016-08-14,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2017-10-09,2017-10-13,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2018-03-08,2018-03-12,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2018-03-28,2018-04-01,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2019-02-21,2019-02-25,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2019-09-09,2019-09-13,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2020-07-05,2020-07-09,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2020-07-25,2020-07-29,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2021-02-20,2021-02-24,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2023-04-11,2023-04-20,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2023-05-01,2023-05-10,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2024-05-25,2024-06-03,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2025-03-11,2025-03-15,possible venting from flaring dataset
-26.466904871021143,-46.528879566009735,2025-03-21,2025-03-25,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2015-12-29,2016-04-06,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2016-05-07,2016-05-26,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2016-07-06,2016-08-14,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2016-09-24,2016-11-02,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2017-05-22,2017-07-20,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2017-07-26,2017-08-14,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2017-12-13,2017-12-27,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-02-01,2018-02-25,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-03-03,2018-03-22,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-04-02,2018-05-01,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-05-27,2018-06-05,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-07-16,2018-07-20,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-07-26,2018-07-30,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-08-10,2018-08-14,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-09-09,2018-09-13,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-09-19,2018-09-23,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-10-29,2018-11-02,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-11-08,2018-11-12,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-11-18,2018-11-27,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2018-12-28,2019-01-01,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-01-07,2019-01-21,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-02-01,2019-02-05,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-03-03,2019-03-17,possible venting from flaring dataset
