lat,lon,start,end,note
-26.46690487101913,-46.528879566009465,2016-03-08,2016-04-06,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2016-07-26,2016-08-14,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2017-10-09,2017-10-13,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2018-03-08,2018-03-12,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2018-03-28,2018-04-01,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2019-02-21,2019-02-25,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2019-09-09,2019-09-13,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2020-07-05,2020-07-09,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2020-07-25,2020-07-29,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2021-02-20,2021-02-24,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2023-04-11,2023-04-20,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2023-05-01,2023-05-10,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2024-05-25,2024-06-03,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2025-03-11,2025-03-15,possible venting from flaring dataset
-26.46690487101913,-46.528879566009465,2025-03-21,2025-03-25,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2018-04-04,2018-04-13,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2018-08-12,2018-08-21,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2019-03-20,2019-03-29,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2020-02-08,2020-02-12,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2020-03-09,2020-03-13,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2020-04-03,2020-04-07,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2020-05-03,2020-05-07,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2020-09-10,2020-09-14,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2020-09-30,2020-10-04,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2021-01-13,2021-02-01,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2021-02-22,2021-02-26,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2021-05-23,2021-05-27,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2021-06-02,2021-06-06,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2021-06-12,2021-06-16,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2021-07-27,2021-07-31,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2021-08-21,2021-08-25,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2022-01-18,2022-01-22,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2022-02-02,2022-02-06,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2022-03-19,2022-03-28,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2022-05-08,2022-05-12,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2022-07-02,2022-07-11,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2022-07-22,2022-07-26,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2022-08-11,2022-08-20,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2022-09-20,2022-09-24,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2023-01-03,2023-01-07,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2023-02-12,2023-02-16,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2023-03-19,2023-03-23,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2023-04-28,2023-05-02,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2023-09-20,2023-09-24,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2024-05-17,2024-05-26,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2024-06-16,2024-06-20,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2025-03-23,2025-03-27,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2025-04-22,2025-04-26,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2025-05-17,2025-05-21,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2025-05-27,2025-05-31,possible venting from flaring dataset
-25.799942005905702,-43.26314991719757,2025-06-26,2025-06-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2016-04-24,2018-01-08,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2018-03-05,2018-04-03,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2018-05-04,2018-06-02,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2018-08-12,2018-08-21,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2018-09-11,2018-09-20,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2018-10-21,2018-10-30,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2018-12-10,2019-02-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-04-09,2019-04-28,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-05-09,2019-05-18,possible venting from flaring dataset
