id,lat,lon,start,end,citation,EEZ
0,54.876,15.421,2022-09-29,2022-09-30,https://amt.copernicus.org/articles/17/2777/2024/,Denmark
1,19.56605,-92.23731,2023-04-27,2023-04-27,UNEP IMEO MARS,Mexico
2,19.56623,-92.23664,2024-05-01,2024-05-01,UNEP IMEO MARS,Mexico
3,19.56668,-92.23721,2023-10-19,2023-10-19,UNEP IMEO MARS,Mexico
4,19.56632,-92.2373,2023-07-16,2023-07-16,UNEP IMEO MARS,Mexico
5,19.56605,-92.23702,2023-08-05,2023-08-05,UNEP IMEO MARS,Mexico
6,19.5665,-92.23683,2023-10-24,2023-10-24,UNEP IMEO MARS,Mexico
7,19.56641,-92.23749,2023-05-02,2023-05-02,UNEP IMEO MARS,Mexico
8,19.56605,-92.23731,2024-09-13,2024-09-13,UNEP IMEO MARS,Mexico
9,19.5656,-92.23664,2024-04-21,2024-04-21,UNEP IMEO MARS,Mexico
10,19.60106,-92.29092,2023-08-30,2023-08-30,UNEP IMEO MARS,Mexico
11,19.56614,-92.23759,2023-08-30,2023-08-30,UNEP IMEO MARS,Mexico
12,19.5665,-92.2373,2023-08-15,2023-08-15,UNEP IMEO MARS,Mexico
13,19.59138,-92.20219,2024-05-16,2024-05-16,UNEP IMEO MARS,Mexico
14,19.5666,-92.23873,2023-07-11,2023-07-11,UNEP IMEO MARS,Mexico
15,19.56677,-92.23749,2024-07-05,2024-07-05,UNEP IMEO MARS,Mexico
16,19.56606,-92.23826,2023-08-20,2023-08-20,UNEP IMEO MARS,Mexico
17,19.59156,-92.2021,2024-07-25,2024-07-25,UNEP IMEO MARS,Mexico
18,19.56533,-92.23874,2023-05-17,2023-05-17,UNEP IMEO MARS,Mexico
19,19.56587,-92.23731,2023-09-04,2023-09-04,UNEP IMEO MARS,Mexico
20,19.56659,-92.2373,2023-09-19,2023-09-19,UNEP IMEO MARS,Mexico
21,19.56632,-92.23692,2024-05-06,2024-05-06,UNEP IMEO MARS,Mexico
22,19.56641,-92.2373,2023-07-21,2023-07-21,UNEP IMEO MARS,Mexico
23,19.56578,-92.23721,2023-05-12,2023-05-12,UNEP IMEO MARS,Mexico
24,7.5931,102.98709,2023-04-18,2023-04-18,UNEP IMEO MARS,Malaysia
25,7.59283,102.98754,2022-01-23,2022-01-23,UNEP IMEO MARS,Malaysia
26,7.59283,102.988,2022-08-21,2022-08-21,UNEP IMEO MARS,Malaysia
27,7.59282,102.987,2024-04-17,2024-04-17,UNEP IMEO MARS,Malaysia
28,7.5922,102.98827,2022-08-11,2022-08-11,UNEP IMEO MARS,Malaysia
29,7.59301,102.98809,2022-07-07,2022-07-07,UNEP IMEO MARS,Malaysia
30,7.59256,102.9889,2023-10-05,2023-10-05,UNEP IMEO MARS,Malaysia
31,7.59237,102.98691,2024-04-27,2024-04-27,UNEP IMEO MARS,Malaysia
32,7.59255,102.98709,2023-04-23,2023-04-23,UNEP IMEO MARS,Malaysia
33,7.59256,102.98836,2024-09-09,2024-09-09,UNEP IMEO MARS,Malaysia
34,7.59246,102.98673,2024-04-07,2024-04-07,UNEP IMEO MARS,Malaysia
35,7.59282,102.98682,2024-03-28,2024-03-28,UNEP IMEO MARS,Malaysia
36,7.59247,102.98827,2022-10-15,2022-10-15,UNEP IMEO MARS,Malaysia
37,7.59238,102.988,2022-09-15,2022-09-15,UNEP IMEO MARS,Malaysia
38,7.59283,102.98827,2023-08-31,2023-08-31,UNEP IMEO MARS,Malaysia
39,7.59346,102.98799,2024-08-15,2024-08-15,UNEP IMEO MARS,Malaysia
40,7.59265,102.98827,2024-08-05,2024-08-05,UNEP IMEO MARS,Malaysia
41,7.5911,102.9851,2025-01-02,2025-01-02,UNEP IMEO MARS,Malaysia
42,27.29220815,-90.96802088,2017-07-05,2017-07-05,NASA DEVELOP,Gulf of Mexico
43,28.97905,-91.4727,2022-09-16,2022-09-16,NASA DEVELOP,Gulf of Mexico
44,29.229,-87.781,2021-05-07,2021-05-07,NASA DEVELOP,Gulf of Mexico
45,54.877,15.409,2022-09-29,2022-09-30,https://amt.copernicus.org/articles/17/2777/2024/,Baltic Sea
46,19.5658,-92.2367,2021-12-07,2021-12-17,https://www.esa.int/Applications/Observing_the_Earth/Methane_emissions_detected_over_offshore_platform_in_the_Gulf_of_Mexico,Gulf of Mexico
47,28.43025,-91.46957,2022-05-16,2022-05-16,NASA DEVELOP,Gulf of Mexico
48,19.5658,-92.2367,2024-04-21,2024-04-21,https://earth.jpl.nasa.gov/emit/data/data-portal/Greenhouse-Gases/,Gulf of Mexico
49,19.5658,-92.2367,2024-08-23,2024-08-23,https://earth.jpl.nasa.gov/emit/data/data-portal/Greenhouse-Gases/,Gulf of Mexico
50,29.68031042,48.80838203,2023-08-02,2023-08-02,Carbon Mapper,Persian Gulf
51,29.65484426,48.84671219,2023-08-02,2023-08-02,Carbon Mapper,Persian Gulf
52,29.63810649,48.85867133,2023-08-02,2023-08-02,Carbon Mapper,Persian Gulf
53,19.56669,-92.23617,2024-04-21,2024-04-21,UNEP IMEO MARS,Mexico
54,19.59181,-92.20132,2024-08-23,2024-08-23,UNEP IMEO MARS,Mexico
55,19.56648,-92.23691,2024-08-23,2024-08-23,UNEP IMEO MARS,Mexico
56,19.56691,-92.2369,2023-12-24,2023-12-24,UNEP IMEO MARS,Mexico
57,29.65341,48.81004,2023-08-02,2023-08-02,NASA JPL EMIT,Iran (Islamic Republic of)
58,26.67312,51.89878,2024-07-26,2024-07-26,UNEP IMEO MARS,Qatar
59,29.65619,48.84716,2023-08-02,2023-08-02,NASA JPL EMIT,Iran (Islamic Republic of)
60,19.56592,-92.23775,2024-02-11,2024-02-11,UNEP IMEO MARS,Mexico
61,7.59191,102.98697,2024-08-10,2024-08-10,UNEP IMEO MARS,Malaysia
62,7.59081,102.98478,2024-11-26,2024-11-26,UNEP IMEO MARS,Malaysia
63,29.57067398,-89.512216,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
64,29.5304,-89.486262,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
65,29.574596,-89.452683,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
66,29.452738,-89.403615,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
67,29.42016621,-89.50234356,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
68,29.374246,-89.773347,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
69,29.374246,-89.773347,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
70,29.363401,-89.77003,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
71,29.36288831,-89.76987123,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
72,29.362911,-89.769874,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
73,29.132365,-89.388829,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
74,29.12678385,-89.32284888,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
75,29.23813,-89.075476,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
76,29.24076054,-89.07661948,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
