system_index,sga_scene,cloudiness,timestamp,sga_local_median,sgi_median,git_hash
20210507T162901_20210507T164316_T16RDT,10.4098,0.0000,2021-05-07T16:29:01,,,unknown
20170705T164319_20170705T165225_T15RXL,12.7878,2.9890,2017-07-05T16:43:19,,,unknown
20170705T164319_20170705T165225_T15RYL,6.7258,1.1588,2017-07-05T16:43:19,,,unknown
20220707T032531_20220707T033631_T48NTP,22.4662,84.6513,2022-07-07T03:25:31,,,unknown
20220811T032519_20220811T034204_T48NTP,18.2036,72.8694,2022-08-11T03:25:19,,,unknown
20220915T032521_20220915T033822_T48NTP,14.1140,29.4220,2022-09-15T03:25:21,,,unknown
20230423T032511_20230423T033555_T48NTP,15.5916,33.6138,2023-04-23T03:25:11,,,unknown
20230512T162839_20230512T164233_T15QWB,26.0219,0.0000,2023-05-12T16:28:39,,,unknown
20230517T162831_20230517T164454_T15QWB,25.8529,0.0000,2023-05-17T16:28:31,,,unknown
20230716T162841_20230716T164533_T15QWB,27.8985,4.4599,2023-07-16T16:28:41,,,unknown
20230721T162839_20230721T164632_T15QWB,28.0326,24.4292,2023-07-21T16:28:39,,,unknown
20230805T162841_20230805T164432_T15QWB,28.5536,84.3974,2023-08-05T16:28:41,,,unknown
20230815T162901_20230815T164413_T15QWB,28.9613,14.6021,2023-08-15T16:29:01,,,unknown
20230820T162839_20230820T164128_T15QWB,29.2491,35.9265,2023-08-20T16:28:39,,,unknown
20231005T032609_20231005T034228_T48NTP,16.5772,20.9634,2023-10-05T03:26:09,,,unknown
20240328T032511_20240328T034146_T48NTP,16.5078,53.9459,2024-03-28T03:25:11,,,unknown
20240417T032521_20240417T033918_T48NTP,15.2554,88.5491,2024-04-17T03:25:21,,,unknown
20240501T162901_20240501T163950_T15QWB,26.7932,0.0000,2024-05-01T16:29:01,,,unknown
20240506T162829_20240506T164526_T15QWB,26.3560,0.0000,2024-05-06T16:28:29,,,unknown
20240705T162839_20240705T164645_T15QWB,27.4715,13.2873,2024-07-05T16:28:39,,,unknown
20240725T162839_20240725T164209_T15QWB,28.2191,0.0123,2024-07-25T16:28:39,,,unknown
20240805T032541_20240805T034133_T48NTP,19.2135,62.4511,2024-08-05T03:25:41,,,unknown
20160330T032552_20160330T034406_T48NTP,16.3551,2.2927,2016-03-30T03:25:52,,,unknown
20160330T034406_20160330T085800_T48NTP,16.3551,2.2927,2016-03-30T03:44:06,,,unknown
20160429T032602_20160429T034340_T48NTP,16.2602,38.8904,2016-04-29T03:26:02,,,unknown
20160429T034340_20160429T085632_T48NTP,16.2602,38.8904,2016-04-29T03:43:40,,,unknown
20160718T032542_20160718T034339_T48NTP,21.6253,23.1095,2016-07-18T03:25:42,,,unknown
20160718T034339_20160718T085635_T48NTP,21.6253,23.1095,2016-07-18T03:43:39,,,unknown
20160827T032542_20160827T034336_T48NTP,15.6243,25.8787,2016-08-27T03:25:42,,,unknown
20160827T032542_20160827T085638_T48NTP,15.6243,25.8787,2016-08-27T03:25:42,,,unknown
20180330T032541_20180330T032926_T48NTP,16.3188,0.0075,2018-03-30T03:25:41,,,unknown
20181001T032529_20181001T033950_T48NTP,15.7968,7.6199,2018-10-01T03:25:29,,,unknown
20190330T032539_20190330T034539_T48NTP,16.3767,8.6784,2019-03-30T03:25:39,,,unknown
20190404T033001_20190404T034053_T48NTP,15.7825,16.1346,2019-04-04T03:30:01,,,unknown
20190409T032539_20190409T033942_T48NTP,15.3241,77.2395,2019-04-09T03:25:39,,,unknown
20190429T032549_20190429T033720_T48NTP,15.9312,0.3672,2019-04-29T03:25:49,,,unknown
20190504T032541_20190504T033029_T48NTP,16.8232,20.5448,2019-05-04T03:25:41,,,unknown
20200314T032539_20200314T033902_T48NTP,19.5244,2.1486,2020-03-14T03:25:39,,,unknown
20200324T032539_20200324T034315_T48NTP,17.3358,51.8347,2020-03-24T03:25:39,,,unknown
20200329T032531_20200329T033022_T48NTP,16.4677,0.1494,2020-03-29T03:25:31,,,unknown
20210904T162901_20210904T164121_T15QWB,30.6278,19.0384,2021-09-04T16:29:01,,,unknown
20210329T032539_20210329T034439_T48NTP,16.4575,1.0151,2021-03-29T03:25:39,,,unknown
20210811T032541_20210811T034526_T48NTP,18.2619,11.3619,2021-08-11T03:25:41,,,unknown
20220805T162839_20220805T164640_T15QWB,28.5431,1.8704,2022-08-05T16:28:39,,,unknown
20220815T162839_20220815T164548_T15QWB,29.0344,0.0000,2022-08-15T16:28:39,,,unknown
20250421T162839_20250421T164324_T15QWB,28.2670,4.9530,2025-04-21T16:28:39,,,unknown
