sgi,glint_alpha,sid
-0.7780548675342274,34.310497,20230830T162839_20230830T164019_T15QWB
-0.6733780681388307,29.48841,20230830T162839_20230830T164019_T15QWB
-0.7372611535811991,30.864916,20230830T162839_20230830T164019_T15QWB
-0.7780458428857085,33.78411,20230830T162839_20230830T164019_T15QWB
-0.37506866777830744,31.469849,20230830T162839_20230830T164019_T15QWB
-0.6825806326945536,29.177256,20230830T162839_20230830T164019_T15QWB
-0.6538461583549775,28.437035,20230830T162839_20230830T164019_T15QWB
-0.7037308000951421,30.326004,20230830T162839_20230830T164019_T15QWB
-0.6914033803805868,29.382946,20230830T162839_20230830T164019_T15QWB
-0.6689806272587167,29.48841,20230830T162839_20230830T164019_T15QWB
-0.6782399489867011,30.43051,20230830T162839_20230830T164019_T15QWB
-0.6415640765256653,29.908684,20230830T162839_20230830T164019_T15QWB
-0.6858529771188578,32.950123,20230830T162839_20230830T164019_T15QWB
-0.5870224352723763,26.04001,20230830T162839_20230830T164019_T15QWB
-0.7314814831782068,32.84714,20230830T162839_20230830T164019_T15QWB
-0.7140587856555706,30.614552,20230830T162839_20230830T164019_T15QWB
-0.7133907569200095,32.55474,20230830T162839_20230830T164019_T15QWB
-0.7111835014699223,29.593042,20230830T162839_20230830T164019_T15QWB
-0.647668394982509,28.311195,20230830T162839_20230830T164019_T15QWB
-0.7299185084058802,30.307137,20230830T162839_20230830T164019_T15QWB
-0.6945010278663031,27.545437,20230830T162839_20230830T164019_T15QWB
-0.6169405861864536,26.843655,20230830T162839_20230830T164019_T15QWB
-0.6320147141775198,25.936995,20230830T162839_20230830T164019_T15QWB
-0.793103436931774,34.310497,20230830T162839_20230830T164019_T15QWB
-0.6002526092676943,26.287498,20230830T162839_20230830T164019_T15QWB
-0.7033603769769332,29.80398,20230830T162839_20230830T164019_T15QWB
-0.2485612865880364,30.467676,20230830T162839_20230830T164019_T15QWB
-0.669876187453098,34.091026,20230830T162839_20230830T164019_T15QWB
-0.6834061256135342,29.382946,20230830T162839_20230830T164019_T15QWB
-0.6294536762717493,26.885122,20230830T162839_20230830T164019_T15QWB
-0.7389313054759195,30.122547,20230830T162839_20230830T164019_T15QWB
-0.7219801957585532,30.433353,20230830T162839_20230830T164019_T15QWB
-0.7705592109136699,33.059303,20230830T162839_20230830T164019_T15QWB
-0.6413474143397936,27.523155,20230830T162839_20230830T164019_T15QWB
-0.7056436807942907,30.431623,20230830T162839_20230830T164019_T15QWB
-0.7241379272158653,33.14989,20230830T162839_20230830T164019_T15QWB
-0.6951351333935823,33.46364,20230830T162839_20230830T164019_T15QWB
-0.7182320354268936,32.93919,20230830T162839_20230830T164019_T15QWB
-0.5626772557042823,26.115292,20230830T162839_20230830T164019_T15QWB
-0.7274826688504497,31.318624,20230830T162839_20230830T164019_T15QWB
-0.7577937849117531,33.059303,20230830T162839_20230830T164019_T15QWB
-0.6720023940869347,28.137691,20230830T162839_20230830T164019_T15QWB
-0.7781350542616468,34.004074,20230830T162839_20230830T164019_T15QWB
-0.7141713351353717,30.412197,20230830T162839_20230830T164019_T15QWB
-0.7582332389781951,31.545671,20230830T162839_20230830T164019_T15QWB
-0.746411486505041,31.92156,20230830T162839_20230830T164019_T15QWB
-0.7274693680580064,33.25834,20230830T162839_20230830T164019_T15QWB
-0.6767527629015608,29.69801,20230830T162839_20230830T164019_T15QWB
-0.7280061454836871,30.018068,20230830T162839_20230830T164019_T15QWB
-0.5866900009456757,27.069693,20230830T162839_20230830T164019_T15QWB
-0.30039750814677196,32.38143,20230830T162839_20230830T164019_T15QWB
-0.7060773622574468,30.692696,20230830T162839_20230830T164019_T15QWB
-0.6679673731172929,27.625832,20230830T162839_20230830T164019_T15QWB
-0.5501371522272207,25.902502,20230830T162839_20230830T164019_T15QWB
-0.6618325499817711,29.069138,20230830T162839_20230830T164019_T15QWB
-0.3802371616928496,30.327045,20230830T162839_20230830T164019_T15QWB
-0.7570941991246329,31.21805,20230830T162839_20230830T164019_T15QWB
-0.7570168472446638,32.950123,20230830T162839_20230830T164019_T15QWB
-0.6483126042427895,29.068127,20230830T162839_20230830T164019_T15QWB
-0.5822672017673105,28.964037,20230830T162839_20230830T164019_T15QWB
