id,structure_id,start,end,citation
0,x210,2022-09-29,2022-09-30,https://amt.copernicus.org/articles/17/2777/2024/
1,x10,2023-04-27,2023-04-27,UNEP IMEO MARS
2,x10,2024-05-01,2024-05-01,UNEP IMEO MARS
3,x10,2023-10-19,2023-10-19,UNEP IMEO MARS
4,x10,2023-07-16,2023-07-16,UNEP IMEO MARS
5,x10,2023-08-05,2023-08-05,UNEP IMEO MARS
6,x10,2023-10-24,2023-10-24,UNEP IMEO MARS
7,x10,2023-05-02,2023-05-02,UNEP IMEO MARS
8,x10,2024-09-13,2024-09-13,UNEP IMEO MARS
9,x10,2024-04-21,2024-04-21,UNEP IMEO MARS
10,x2,2023-08-30,2023-08-30,UNEP IMEO MARS
11,x10,2023-08-30,2023-08-30,UNEP IMEO MARS
12,x10,2023-08-15,2023-08-15,UNEP IMEO MARS
13,x51,2024-05-16,2024-05-16,UNEP IMEO MARS
14,x10,2023-07-11,2023-07-11,UNEP IMEO MARS
15,x10,2024-07-05,2024-07-05,UNEP IMEO MARS
16,x10,2023-08-20,2023-08-20,UNEP IMEO MARS
17,x51,2024-07-25,2024-07-25,UNEP IMEO MARS
18,x10,2023-05-17,2023-05-17,UNEP IMEO MARS
19,x10,2023-09-04,2023-09-04,UNEP IMEO MARS
20,x10,2023-09-19,2023-09-19,UNEP IMEO MARS
21,x10,2024-05-06,2024-05-06,UNEP IMEO MARS
22,x10,2023-07-21,2023-07-21,UNEP IMEO MARS
23,x10,2023-05-12,2023-05-12,UNEP IMEO MARS
24,x236,2023-04-18,2023-04-18,UNEP IMEO MARS
25,x236,2022-01-23,2022-01-23,UNEP IMEO MARS
26,x236,2022-08-21,2022-08-21,UNEP IMEO MARS
27,x236,2024-04-17,2024-04-17,UNEP IMEO MARS
28,x236,2022-08-11,2022-08-11,UNEP IMEO MARS
29,x236,2022-07-07,2022-07-07,UNEP IMEO MARS
30,x236,2023-10-05,2023-10-05,UNEP IMEO MARS
31,x236,2024-04-27,2024-04-27,UNEP IMEO MARS
32,x236,2023-04-23,2023-04-23,UNEP IMEO MARS
33,x236,2024-09-09,2024-09-09,UNEP IMEO MARS
34,x236,2024-04-07,2024-04-07,UNEP IMEO MARS
35,x236,2024-03-28,2024-03-28,UNEP IMEO MARS
36,x236,2022-10-15,2022-10-15,UNEP IMEO MARS
37,x236,2022-09-15,2022-09-15,UNEP IMEO MARS
38,x236,2023-08-31,2023-08-31,UNEP IMEO MARS
39,x236,2024-08-15,2024-08-15,UNEP IMEO MARS
40,x236,2024-08-05,2024-08-05,UNEP IMEO MARS
41,x236,2025-01-02,2025-01-02,UNEP IMEO MARS
42,x86,2017-07-05,2017-07-05,NASA DEVELOP
43,x82,2022-09-16,2022-09-16,NASA DEVELOP
44,x208,2021-05-07,2021-05-07,NASA DEVELOP
45,x209,2022-09-29,2022-09-30,https://amt.copernicus.org/articles/17/2777/2024/
46,x10,2021-12-07,2021-12-17,https://www.esa.int/Applications/Observing_the_Earth/Methane_emissions_detected_over_offshore_platform_in_the_Gulf_of_Mexico
47,x83,2022-05-16,2022-05-16,NASA DEVELOP
48,x10,2024-04-21,2024-04-21,https://earth.jpl.nasa.gov/emit/data/data-portal/Greenhouse-Gases/
49,x10,2024-08-23,2024-08-23,https://earth.jpl.nasa.gov/emit/data/data-portal/Greenhouse-Gases/
50,x211,2023-08-02,2023-08-02,Carbon Mapper
51,x213,2023-08-02,2023-08-02,Carbon Mapper
52,x215,2023-08-02,2023-08-02,Carbon Mapper
53,x10,2024-04-21,2024-04-21,UNEP IMEO MARS
54,x51,2024-08-23,2024-08-23,UNEP IMEO MARS
55,x10,2024-08-23,2024-08-23,UNEP IMEO MARS
56,x10,2023-12-24,2023-12-24,UNEP IMEO MARS
57,x212,2023-08-02,2023-08-02,NASA JPL EMIT
58,x216,2024-07-26,2024-07-26,UNEP IMEO MARS
59,x213,2023-08-02,2023-08-02,NASA JPL EMIT
60,x10,2024-02-11,2024-02-11,UNEP IMEO MARS
61,x236,2024-08-10,2024-08-10,UNEP IMEO MARS
62,x236,2024-11-26,2024-11-26,UNEP IMEO MARS
63,x157,2021-11-02,2021-11-02,Carbon Mapper
64,x165,2021-11-02,2021-11-02,Carbon Mapper
65,x167,2021-11-02,2021-11-02,Carbon Mapper
66,x168,2021-11-02,2021-11-02,Carbon Mapper
67,x164,2021-11-02,2021-11-02,Carbon Mapper
68,x142,2021-11-02,2021-11-02,Carbon Mapper
69,x142,2021-11-02,2021-11-02,Carbon Mapper
70,x143,2021-11-02,2021-11-02,Carbon Mapper
71,x143,2021-11-02,2021-11-02,Carbon Mapper
72,x143,2021-11-02,2021-11-02,Carbon Mapper
73,x172,2021-11-02,2021-11-02,Carbon Mapper
74,x176,2021-11-02,2021-11-02,Carbon Mapper
75,x191,2021-11-02,2021-11-02,Carbon Mapper
76,x191,2021-11-02,2021-11-02,Carbon Mapper
77,x186,2021-11-02,2021-11-02,Carbon Mapper
78,x189,2021-11-02,2021-11-02,Carbon Mapper
79,x196,2021-11-02,2021-11-02,Carbon Mapper
80,x191,2021-11-02,2021-11-02,Carbon Mapper
81,x196,2021-11-02,2021-11-02,Carbon Mapper
82,x198,2021-11-02,2021-11-02,Carbon Mapper
83,x198,2021-11-02,2021-11-02,Carbon Mapper
84,x198,2021-11-02,2021-11-02,Carbon Mapper
85,x203,2021-11-02,2021-11-02,Carbon Mapper
86,x198,2021-11-02,2021-11-02,Carbon Mapper
87,x196,2021-11-02,2021-11-02,Carbon Mapper
88,x180,2021-11-02,2021-11-02,Carbon Mapper
89,x180,2021-11-02,2021-11-02,Carbon Mapper
90,x180,2021-11-02,2021-11-02,Carbon Mapper
91,x180,2021-11-02,2021-11-02,Carbon Mapper
92,x180,2021-11-02,2021-11-02,Carbon Mapper
93,x141,2021-11-01,2021-11-01,Carbon Mapper
94,x123,2021-11-01,2021-11-01,Carbon Mapper
95,x111,2021-11-01,2021-11-01,Carbon Mapper
96,x94,2021-11-01,2021-11-01,Carbon Mapper
97,x87,2021-11-01,2021-11-01,Carbon Mapper
98,x84,2021-11-01,2021-11-01,Carbon Mapper
99,x78,2021-11-01,2021-11-01,Carbon Mapper
100,x69,2021-11-01,2021-11-01,Carbon Mapper
101,x65,2021-11-01,2021-11-01,Carbon Mapper
102,x67,2021-11-01,2021-11-01,Carbon Mapper
103,x206,2021-10-31,2021-10-31,Carbon Mapper
104,x185,2021-10-31,2021-10-31,Carbon Mapper
105,x191,2021-10-31,2021-10-31,Carbon Mapper
106,x186,2021-10-31,2021-10-31,Carbon Mapper
107,x189,2021-10-31,2021-10-31,Carbon Mapper
108,x186,2021-10-31,2021-10-31,Carbon Mapper
109,x203,2021-10-31,2021-10-31,Carbon Mapper
110,x191,2021-10-31,2021-10-31,Carbon Mapper
111,x186,2021-10-31,2021-10-31,Carbon Mapper
112,x198,2021-10-31,2021-10-31,Carbon Mapper
113,x203,2021-10-31,2021-10-31,Carbon Mapper
114,x198,2021-10-31,2021-10-31,Carbon Mapper
115,x94,2021-10-30,2021-10-30,Carbon Mapper
116,x87,2021-10-30,2021-10-30,Carbon Mapper
117,x87,2021-10-30,2021-10-30,Carbon Mapper
118,x78,2021-10-30,2021-10-30,Carbon Mapper
119,x75,2021-10-30,2021-10-30,Carbon Mapper
